ticker,rf_train,rf_test,rf_gap,rf_f1,xgb_train,xgb_test,xgb_gap,xgb_f1,lr_train,lr_test,lr_gap,lr_f1,winner,n_features,n_samples
BABA,0.9836065573770492,0.7419354838709677,0.2416710735060814,0.8095238095238095,1.0,0.8387096774193549,0.16129032258064513,0.8780487804878049,0.6721311475409836,0.5806451612903226,0.09148598625066096,0.7346938775510204,XGBoost,25,153
QCOM,1.0,0.5833333333333334,0.41666666666666663,0.7058823529411765,1.0,0.6666666666666666,0.33333333333333337,0.7333333333333333,0.625,0.625,0.0,0.64,XGBoost,25,120
NVDA,1.0,0.6896551724137931,0.31034482758620685,0.6086956521739131,1.0,0.5172413793103449,0.48275862068965514,0.5,0.6206896551724138,0.6206896551724138,0.0,0.6206896551724138,Random Forest,25,145
