ticker,tn,fp,fn,tp
NFLX,9,5,8,11
NVDA,9,8,6,6
BABA,7,6,0,18
QCOM,3,8,2,11
MU,8,4,14,5
TSLA,5,4,10,6
AAPL,9,6,11,15
MSFT,11,4,16,10
GOOGL,14,6,8,8
AMZN,0,21,2,18
